gpstime,lat,lon,alt,stdlat,stdlon,stdalt,roll,pitch,head,mntroll,mntpitch,mntyaw,quality,HDOP,numSV,sep
204010.8,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.53281,-0.8768,19.00619,0.71,3.95,359.48,4,0.65,12,17.1
204010.9,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.52756,-0.85836,19.00656,0.71,3.95,359.48,4,0.65,12,17.1
204011.1,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.52568,-0.86295,19.00637,0.71,3.95,359.48,4,0.65,12,17.1
204011.2,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.52246,-0.86676,19.00799,0.71,3.95,359.48,4,0.65,12,17.1
204011.4,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.541,-0.89795,19.0094,0.71,3.95,359.48,4,0.65,12,17.1
204011.5,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.54086,-0.8924,19.00956,0.71,3.95,359.48,4,0.65,12,17.1
204011.7,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.54075,-0.89598,19.00867,0.71,3.95,359.48,4,0.65,12,17.1
204011.8,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.53595,-0.90491,19.00676,0.71,3.95,359.48,4,0.65,12,17.1
204012.0,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.53468,-0.90752,19.00525,0.71,3.95,359.48,4,0.65,12,17.1
204012.1,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.52745,-0.90295,19.00794,0.71,3.95,359.48,4,0.65,12,17.1
204012.3,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.54336,-0.89023,19.01041,0.71,3.95,359.48,4,0.65,12,17.1
204012.5,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.53704,-0.88787,19.0106,0.71,3.95,359.48,4,0.65,12,17.1
204012.7,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.53521,-0.8886,19.01012,0.71,3.95,359.48,4,0.65,12,17.1
204012.8,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.54125,-0.88832,19.01159,0.71,3.95,359.48,4,0.65,12,17.1
204013.0,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.53346,-0.889,19.01338,0.71,3.95,359.48,4,0.65,12,17.1
204013.1,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.52504,-0.89813,19.01344,0.71,3.95,359.48,4,0.65,12,17.1
204013.3,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.52025,-0.88656,19.01101,0.71,3.95,359.48,4,0.65,12,17.1
204013.4,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.52784,-0.86851,19.01661,0.71,3.95,359.48,4,0.65,12,17.1
204013.6,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.53017,-0.8669,19.0162,0.71,3.95,359.48,4,0.65,12,17.1
204013.7,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.53188,-0.87709,19.0175,0.71,3.95,359.48,4,0.65,12,17.1
204013.9,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.53064,-0.8848,19.01644,0.71,3.95,359.48,4,0.65,12,17.1
204014.0,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.51875,-0.88147,19.01798,0.71,3.95,359.48,4,0.65,12,17.1
204014.2,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.5464,-0.88645,19.02027,0.71,3.95,359.48,4,0.65,12,17.1
204014.4,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.54563,-0.88737,19.01993,0.71,3.95,359.48,4,0.65,12,17.1
204014.5,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.54068,-0.89296,19.01909,0.71,3.95,359.48,4,0.65,12,17.1
204014.6,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.53566,-0.90535,19.01806,0.71,3.95,359.48,4,0.65,12,17.1
204014.8,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.53035,-0.89932,19.01928,0.71,3.95,359.48,4,0.65,12,17.1
204015.0,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.52838,-0.89346,19.01836,0.71,3.95,359.48,4,0.65,12,17.1
204015.1,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.52992,-0.8961,19.0184,0.71,3.95,359.48,4,0.65,12,17.1
204015.3,24.9770186667,121.5511756667,24.1,0.039,0.046,0.51,0.53602,-0.90341,19.01993,0.71,3.95,359.48,4,0.65,12,17.1
204015.5,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.5297,-0.90794,19.01989,0.71,3.95,359.48,4,0.65,12,17.1
204015.6,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.53004,-0.90602,19.02164,0.71,3.95,359.48,4,0.65,12,17.1
204015.8,24.9770186667,121.5511756667,24.1,0.039,0.046,0.51,0.52692,-0.9022,19.0233,0.71,3.95,359.48,4,0.65,12,17.1
204016.0,24.9770186667,121.5511756667,24.1,0.039,0.046,0.51,0.52634,-0.90666,19.02237,0.71,3.95,359.48,4,0.65,12,17.1
204016.1,24.9770186667,121.5511756667,24.1,0.039,0.046,0.51,0.52233,-0.90925,19.02166,0.71,3.95,359.48,4,0.65,12,17.1
204016.3,24.9770186667,121.5511756667,24.1,0.039,0.046,0.51,0.53135,-0.90763,19.02442,0.71,3.95,359.48,4,0.65,12,17.1
204016.4,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.53119,-0.90474,19.02408,0.71,3.95,359.48,4,0.65,12,17.1
204016.6,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.52986,-0.90358,19.02363,0.71,3.95,359.48,4,0.65,12,17.1
204016.8,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.5257,-0.9052,19.02312,0.71,3.95,359.48,4,0.65,12,17.1
204017.0,24.9770186667,121.5511756667,24.1,0.039,0.046,0.51,0.52577,-0.90508,19.01829,0.71,3.95,359.48,4,0.65,12,17.1
204017.1,24.9770186667,121.5511756667,24.1,0.039,0.046,0.51,0.52286,-0.90288,19.01806,0.71,3.95,359.48,4,0.65,12,17.1
204017.3,24.9770186667,121.5511756667,24.1,0.039,0.046,0.51,0.53656,-0.87704,19.02216,0.71,3.95,359.48,4,0.65,12,17.1
204017.4,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.53819,-0.86302,19.02391,0.71,3.95,359.48,4,0.65,12,17.1
204017.6,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.53843,-0.85702,19.02364,0.71,3.95,359.48,4,0.65,12,17.1
204017.7,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.53824,-0.86729,19.0217,0.71,3.95,359.48,4,0.65,12,17.1
204017.9,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.53073,-0.87444,19.02218,0.71,3.95,359.48,4,0.65,12,17.1
204018.0,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.53135,-0.8619,19.02341,0.71,3.95,359.48,4,0.65,12,17.1
204018.2,24.9770186667,121.5511758333,24.1,0.039,0.046,0.51,0.53181,-0.85235,19.0252,0.71,3.95,359.48,4,0.65,12,17.1
204018.3,24.9770186667,121.5511758333,24.1,0.039,0.046,0.51,0.53011,-0.86198,19.02579,0.71,3.95,359.48,4,0.65,12,17.1
204018.5,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.52932,-0.89212,19.02322,0.71,3.95,359.48,4,0.65,12,17.1
204018.6,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.53017,-0.8826,19.02306,0.71,3.95,359.48,4,0.65,12,17.1
204018.8,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.52906,-0.87529,19.0253,0.71,3.95,359.48,4,0.65,12,17.1
204018.9,24.9770185,121.5511756667,24.1,0.039,0.046,0.51,0.52588,-0.88126,19.02468,0.71,3.95,359.48,4,0.65,12,17.1
204019.1,24.9770186667,121.5511756667,24.1,0.039,0.046,0.51,0.52254,-0.89345,19.02367,0.71,3.95,359.48,4,0.65,12,17.1
204019.3,24.9770186667,121.5511756667,24.1,0.039,0.046,0.51,0.52993,-0.87874,19.02444,0.71,3.95,359.48,4,0.65,12,17.1
204019.4,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.53,-0.87197,19.02509,0.71,3.95,359.48,4,0.65,12,17.1
